Failed to import warp: No module named 'warp'
Failed to import mujoco_warp: No module named 'warp'
================================================================
APOLLO HUMANOID - STAGE 2: NATURAL STAND & LOCOMOTION (v9)
112-dim Base Frame Obs | Stand-Still Reward | Linear Actor
JAX Backend: gpu
Devices: [CudaDevice(id=0)]
z_nominal=1.0160m | TERM_HEIGHT=0.762m | ACTION_SCALE=0.15
OBS_DIM=112 | CTRL_DT=0.01s | step_freq=1.2Hz
[v9 CONFIG] Envs=4096 | Rollout=24 | Steps/iter=98,304 | Total iters=1525
[v9 CONFIG] Obs=112 | ActionScale=0.15 | Total steps=150,000,000
Starting training loop at 2026-09-10 17:47:34...
[0083/1525] steps=8,159,232 | rew=0.07987 | loss=0.1523 | sps=7,208 | ent=0.0085 | log_std=-1.800 | t=1458s stepping
[0084/1525] steps=8,257,536 | rew=0.08020 | loss=0.1484 | sps=7,142 | ent=0.0085 | log_std=-1.798 | t=1472s *** BALANCED WALKING ***
[0085/1525] steps=8,355,840 | rew=0.08031 | loss=0.1471 | sps=7,047 | ent=0.0085 | log_std=-1.796 | t=1486s *** BALANCED WALKING ***
[0086/1525] steps=8,454,144 | rew=0.08059 | loss=0.1472 | sps=7,162 | ent=0.0085 | log_std=-1.794 | t=1500s *** BALANCED WALKING ***
[0087/1525] steps=8,552,448 | rew=0.08078 | loss=0.1479 | sps=7,175 | ent=0.0085 | log_std=-1.793 | t=1513s *** BALANCED WALKING ***
[0088/1525] steps=8,650,752 | rew=0.08046 | loss=0.1439 | sps=7,148 | ent=0.0084 | log_std=-1.791 | t=1527s *** BALANCED WALKING ***
[0089/1525] steps=8,749,056 | rew=0.07995 | loss=0.1395 | sps=7,160 | ent=0.0084 | log_std=-1.790 | t=1541s stepping
[0090/1525] steps=8,847,360 | rew=0.07998 | loss=0.1361 | sps=7,194 | ent=0.0084 | log_std=-1.788 | t=1555s stepping
[0091/1525] steps=8,945,664 | rew=0.08073 | loss=0.1365 | sps=7,179 | ent=0.0084 | log_std=-1.787 | t=1568s *** BALANCED WALKING ***
[0092/1525] steps=9,043,968 | rew=0.08128 | loss=0.1394 | sps=7,077 | ent=0.0084 | log_std=-1.786 | t=1582s *** BALANCED WALKING ***
[0093/1525] steps=9,142,272 | rew=0.08216 | loss=0.1344 | sps=7,135 | ent=0.0084 | log_std=-1.784 | t=1596s *** BALANCED WALKING ***
[0094/1525] steps=9,240,576 | rew=0.08270 | loss=0.1311 | sps=7,174 | ent=0.0083 | log_std=-1.782 | t=1610s *** BALANCED WALKING ***
